index,CPSI,version,year,type
4,1.274019,top20v232,2012,chorus
5,1.9784,top20v232,2012,chorus
6,1.621246,top20v232,2012,chorus
7,1.569889,top20v232,2012,chorus
8,1.225648,top20v232,2012,chorus
9,1.722814,top20v232,2012,chorus
10,1.324417,top20v232,2012,chorus
11,1.371648,top20v232,2012,chorus
12,1.353975,top20v232,2012,chorus
13,1.322116,top20v232,2012,chorus
14,1.639389,top20v232,2012,chorus
15,1.342633,top20v232,2012,chorus
16,1.504836,top20v232,2012,chorus
17,1.569942,top20v232,2012,chorus
18,1.307628,top20v232,2012,chorus
19,1.438886,top20v232,2012,chorus
0,0.89096,top10v111,2013,verse
1,1.610002,top10v111,2013,verse
2,1.405729,top10v111,2013,verse
3,0.983693,top10v111,2013,verse
4,1.610913,top10v111,2013,verse
5,0.950799,top10v111,2013,verse
6,1.005003,top10v111,2013,verse
7,1.062091,top10v111,2013,verse
